Title,Price,Rating,Availability
A Light in the Attic,51.77,Three,True
Tipping the Velvet,53.74,One,True
Soumission,50.1,One,True
Sharp Objects,47.82,Four,True
Sapiens: A Brief History of Humankind,54.23,Five,True
The Requiem Red,22.65,One,True
The Dirty Little Secrets of Getting Your Dream Job,33.34,Four,True
"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",17.93,Three,True
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,Four,True
The Black Maria,52.15,One,True
"Starving Hearts (Triangular Trade Trilogy, #1)",13.99,Two,True
Shakespeare's Sonnets,20.66,Four,True
Set Me Free,17.46,Five,True
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,Five,True
Rip it Up and Start Again,35.02,Five,True
"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,Three,True
Olio,23.88,One,True
Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,One,True
Libertarianism for Beginners,51.33,Two,True
It's Only the Himalayas,45.17,Two,True
In Her Wake,12.84,One,True
How Music Works,37.32,Two,True
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",30.52,Three,True
Chase Me (Paris Nights #2),25.27,Five,True
Black Dust,34.53,Five,True
Birdsong: A Story in Pictures,54.64,Three,True
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,22.5,Three,True
Aladdin and His Wonderful Lamp,53.13,Three,True
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,40.3,Five,True
Wall and Piece,44.18,Four,True
The Four Agreements: A Practical Guide to Personal Freedom,17.66,Five,True
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,Three,True
The Elephant Tree,23.82,Five,True
The Bear and the Piano,36.89,One,True
Sophie's World,15.94,Five,True
Penny Maybe,33.29,Three,True
Maude (1883-1993):She Grew Up with the country,18.02,Two,True
"In a Dark, Dark Wood",19.63,One,True
Behind Closed Doors,52.22,Four,True
You can't bury them all: Poems,33.63,Two,True
Slow States of Collapse: Poems,57.31,Three,True
Reasons to Stay Alive,26.41,Two,True
Private Paris (Private #10),47.61,Five,True
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,23.11,Five,True
Without Borders (Wanderlove #1),45.07,Two,True
When We Collided,31.77,One,True
"We Love You, Charlie Freeman",50.27,Five,True
Untitled Collection: Sabbath Poems 2014,14.27,Four,True
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",44.18,Four,True
Unicorn Tracks,18.78,Three,True
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",25.52,One,True
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),16.28,One,True
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,Three,True
This One Summer,19.49,Four,True
Thirst,17.27,Five,True
The Torch Is Passed: A Harding Family Story,19.09,One,True
The Secret of Dreadwillow Carse,56.13,One,True
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,One,True
The Past Never Ends,56.5,Four,True
The Natural History of Us (The Fine Art of Pretending #2),45.22,Three,True
The Nameless City (The Nameless City #1),38.16,Four,True
The Murder That Never Was (Forensic Instincts #5),54.11,Three,True
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,Four,True
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,Four,True
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,Three,True
